hardware,pin_number
IRLED,9
LED_R_LEFT,3
LED_R_RIGHT,2
LED_G_LEFT_RIGHT,6
LED_G_RIGHT_RIGHT,5 #Extra not connected
LED_B_LEFT,8
LED_B_RIGHT,7
EL_SHOCK_LEFT,35    
EL_SHOCK_RIGHT,39
ODOR_A_LEFT,27
ODOR_A_RIGHT,49
ODOR_B_LEFT,25
ODOR_B_RIGHT,51
MAIN_VALVE,31
VACUUM,41
ONBOARD_LED,13
VIBRATOR,4
CLEAN_AIR,33 #EXTRA
CLEAN_SDS,43 #EXTRA
CLEAN_WATER,45 #EXTRA
TARGETS,44
TREATMENT_A_LEFT,32
TREATMENT_A_RIGHT,34
TREATMENT_B_LEFT,36
TREATMENT_B_RIGHT,38
#1-10,44,45,46 support PWM
LED_R_GLOBAL,46
HEATER,10
ENCLOSURE_HEATER,11
CHAMBERS_HEATER,12
HEATSINK_COOLING,37
